Timestamp,UNIX ts,Success,RTT (ms),Nota
2026-07-24 23:54:47,1784948087.0014403,True,11.244,
2026-07-24 23:54:47,1784948087.154173,True,0.602,
2026-07-24 23:54:47,1784948087.3079493,True,0.813,
2026-07-24 23:54:47,1784948087.460821,True,15.424,
2026-07-24 23:54:47,1784948087.613784,True,15.677,
2026-07-24 23:54:47,1784948087.818073,True,15.187,
2026-07-24 23:54:47,1784948087.9707081,True,15.309,
2026-07-24 23:54:48,1784948088.1253803,True,0.356,
2026-07-24 23:54:48,1784948088.328964,True,16.040,
2026-07-24 23:54:48,1784948088.4818943,True,15.034,
2026-07-24 23:54:48,1784948088.6370776,True,0.212,
2026-07-24 23:54:48,1784948088.7894938,True,16.065,
2026-07-24 23:54:48,1784948088.9929945,False,2004.465,erro(10035)
2026-07-24 23:54:49,1784948089.0112464,True,15.800,
2026-07-24 23:54:49,1784948089.1137037,True,0.470,
2026-07-24 23:54:49,1784948089.320284,True,14.814,
2026-07-24 23:54:49,1784948089.4757495,True,15.246,
2026-07-24 23:54:49,1784948089.629273,True,0.824,
2026-07-24 23:54:49,1784948089.7830222,True,15.860,
2026-07-24 23:54:49,1784948089.9872112,True,0.744,
2026-07-24 23:54:50,1784948090.1404634,True,15.982,
2026-07-24 23:54:50,1784948090.2950203,True,15.186,
2026-07-24 23:54:50,1784948090.4494994,True,0.892,
2026-07-24 23:54:50,1784948090.6540213,True,15.339,
2026-07-24 23:54:50,1784948090.8079956,True,15.599,
2026-07-24 23:54:50,1784948090.9623184,True,1.041,
2026-07-24 23:54:51,1784948091.1162307,False,2001.548,erro(10035)
2026-07-24 23:54:51,1784948091.1169112,True,16.104,
